date,avoid_ambulance_mobilized_on_road
5:47:40,0.8782
5:47:50,0.8767
5:48:00,0.8751
5:48:10,0.8735
5:48:20,0.872
5:48:30,0.8705
5:48:40,0.8689
5:48:50,0.8674
5:49:00,0.8659
5:49:10,0.8643
5:49:20,0.8628
5:49:30,0.8613
5:49:40,0.8598
5:49:50,0.8582
5:50:00,0.8567
5:50:10,0.8553
5:50:20,0.8521
5:50:30,0.8506
5:50:40,0.8492
5:50:50,0.8477
5:51:00,0.8463
5:51:10,0.845
5:51:20,0.8437
5:51:30,0.8439
5:51:40,0.8442
5:51:50,0.8445
5:52:00,0.8448
5:52:10,0.8451
5:52:20,0.8453
5:52:30,0.8456
5:52:40,0.8459
5:52:50,0.8461
5:53:00,0.8464
5:53:10,0.8467
5:53:20,0.847
5:53:30,0.8472
5:53:40,0.8475
5:53:50,0.8478
5:54:00,0.848
5:54:10,0.8483
5:54:20,0.8486
5:54:30,0.8488
5:54:40,0.8491
5:54:50,0.8493
5:55:00,0.848
5:55:10,0.8467
5:55:20,0.8454
5:55:30,0.8441
5:55:40,0.8428
5:55:50,0.8415
5:56:00,0.8403
5:56:10,0.839
5:56:20,0.8377
5:56:30,0.8364
5:56:40,0.8352
5:56:50,0.8339
5:57:00,0.8326
5:57:10,0.8314
5:57:20,0.8302
5:57:30,0.829
5:57:40,0.8293
5:57:50,0.8296
5:58:00,0.8299
5:58:10,0.8301
5:58:20,0.8304
5:58:30,0.8307
5:58:40,0.831
5:58:50,0.8312
5:59:00,0.8315
5:59:10,0.8318
5:59:20,0.8321
5:59:30,0.8323
5:59:40,0.8326
5:59:50,0.8329
6:00:00,0.8317
6:00:10,0.8305
6:00:20,0.8293
6:00:30,0.8282
6:00:40,0.827
6:00:50,0.8258
6:01:00,0.8246
6:01:10,0.8235
6:01:20,0.8223
6:01:30,0.8212
6:01:40,0.82
6:01:50,0.8189
6:02:00,0.8177
6:02:10,0.8166
6:02:20,0.8155
6:02:30,0.8155
6:02:40,0.8155
6:02:50,0.8155
6:03:00,0.8155
6:03:10,0.8155
6:03:20,0.8155
6:03:30,0.8155
6:03:40,0.8155
6:03:50,0.8155
6:04:00,0.8155
6:04:10,0.8155
6:04:20,0.8155
6:04:30,0.8158
6:04:40,0.816
6:04:50,0.8163
6:05:00,0.8151
6:05:10,0.814
6:05:20,0.8129
6:05:30,0.8117
6:05:40,0.8106
6:05:50,0.8095
6:06:00,0.8083
6:06:10,0.8072
6:06:20,0.8061
6:06:30,0.805
6:06:40,0.8039
6:06:50,0.8028
6:07:00,0.8017
6:07:10,0.8007
6:07:20,0.7997
6:07:30,0.8
6:07:40,0.8003
6:07:50,0.8006
6:08:00,0.8009
6:08:10,0.8012
6:08:20,0.8015
6:08:30,0.8018
6:08:40,0.8021
6:08:50,0.8024
6:09:00,0.8027
6:09:10,0.803
6:09:20,0.8032
6:09:30,0.8035
6:09:40,0.8038
6:09:50,0.8041
6:10:00,0.8044
6:10:10,0.8047
6:10:20,0.805
6:10:30,0.8053
6:10:40,0.8055
6:10:50,0.8058
6:11:00,0.8061
6:11:10,0.8064
6:11:20,0.8067
6:11:30,0.8069
6:11:40,0.8072
6:11:50,0.8075
6:12:00,0.8078
6:12:10,0.8081
6:12:20,0.8083
6:12:30,0.8086
6:12:40,0.8089
6:12:50,0.8092
6:13:00,0.8094
6:13:10,0.8097
6:13:20,0.81
6:13:30,0.8102
6:13:40,0.8105
6:13:50,0.8108
6:14:00,0.811
6:14:10,0.8113
6:14:20,0.8116
6:14:30,0.8118
6:14:40,0.8121
6:14:50,0.8123
6:15:00,0.8125
6:15:10,0.8114
6:15:20,0.8104
6:15:30,0.8081
6:15:40,0.8058
6:15:50,0.8036
6:16:00,0.8013
6:16:10,0.799
6:16:20,0.7968
6:16:30,0.7946
6:16:40,0.7924
6:16:50,0.7901
6:17:00,0.7879
6:17:10,0.7858
6:17:20,0.7837
6:17:30,0.7816
6:17:40,0.7806
6:17:50,0.7797
6:18:00,0.7788
6:18:10,0.778
6:18:20,0.7771
6:18:30,0.7774
6:18:40,0.7777
6:18:50,0.778
6:19:00,0.7783
6:19:10,0.7786
6:19:20,0.7789
6:19:30,0.7792
6:19:40,0.7794
6:19:50,0.7797
6:20:00,0.78
6:20:10,0.7791
6:20:20,0.7782
